id,x,y,cell,capacity
228,33,63,661,12.052920627944681
229,16,55,189,2.355261709266202
230,81,94,150,13.812550081632235
231,16,28,717,17.56895145414403
232,74,79,151,2.3774149116048915
233,54,79,901,34.78469797686329
234,40,99,961,16.875550620221876
235,78,3,614,62.637674680785956
236,68,67,432,47.258006924701846
237,64,41,452,61.49146685082577
238,33,42,308,3.1340554504354157
239,78,22,569,33.903245018069924
240,17,67,155,3.8821794506128313
241,20,12,890,14.101525716892889
242,51,91,906,19.492515575920184
243,68,8,91,7.230349926297994
244,29,99,958,23.908621344289013
245,47,21,298,1.817589090931978
246,60,51,870,26.89127448879652
