id,type,x,y,z,users,total_bw,shared_bw,active
902,FEMTO,53,88,1,1,6800.0,6800.0,true
903,FEMTO,53,88,1,0,6800.0,6800.0,false
904,FEMTO,53,88,1,0,6800.0,6800.0,true
905,FEMTO,53,88,1,0,6800.0,6800.0,false
906,FEMTO,53,88,1,5,6800.0,1360.0,true
907,FEMTO,53,88,1,3,6800.0,2266.6666666666665,true
908,FEMTO,53,88,1,0,6800.0,6800.0,false
909,FEMTO,75,32,1,0,6800.0,6800.0,false
910,FEMTO,75,32,1,0,6800.0,6800.0,false
911,FEMTO,75,32,1,1,6800.0,6800.0,true
912,FEMTO,75,32,1,1,6800.0,6800.0,true
913,FEMTO,75,32,1,0,6800.0,6800.0,true
914,FEMTO,75,32,1,0,6800.0,6800.0,false
915,FEMTO,75,32,1,0,6800.0,6800.0,true
916,FEMTO,75,32,1,0,6800.0,6800.0,false
917,FEMTO,75,32,1,0,6800.0,6800.0,false
918,FEMTO,75,32,1,0,6800.0,6800.0,false
919,FEMTO,75,32,1,0,6800.0,6800.0,false
920,FEMTO,75,32,1,0,6800.0,6800.0,true
921,FEMTO,95,19,1,0,6800.0,6800.0,false
922,FEMTO,95,19,1,1,6800.0,6800.0,true
923,FEMTO,95,19,1,0,6800.0,6800.0,false
924,FEMTO,95,19,1,0,6800.0,6800.0,true
925,FEMTO,95,19,1,0,6800.0,6800.0,false
926,FEMTO,95,19,1,0,6800.0,6800.0,false
927,FEMTO,95,19,1,0,6800.0,6800.0,true
928,FEMTO,95,19,1,0,6800.0,6800.0,true
929,FEMTO,95,19,1,0,6800.0,6800.0,false
930,FEMTO,95,19,1,0,6800.0,6800.0,false
931,FEMTO,95,19,1,1,6800.0,6800.0,true
932,FEMTO,95,19,1,0,6800.0,6800.0,false
933,FEMTO,35,34,1,0,6800.0,6800.0,true
934,FEMTO,35,34,1,0,6800.0,6800.0,true
935,FEMTO,35,34,1,0,6800.0,6800.0,false
936,FEMTO,35,34,1,0,6800.0,6800.0,false
937,FEMTO,35,34,1,0,6800.0,6800.0,true
938,FEMTO,35,34,1,1,6800.0,6800.0,true
939,FEMTO,35,34,1,0,6800.0,6800.0,true
940,FEMTO,35,34,1,0,6800.0,6800.0,true
941,FEMTO,35,34,1,0,6800.0,6800.0,true
942,FEMTO,35,34,1,0,6800.0,6800.0,false
943,FEMTO,35,34,1,0,6800.0,6800.0,true
944,FEMTO,35,34,1,0,6800.0,6800.0,true
945,FEMTO,23,78,1,0,6800.0,6800.0,true
946,FEMTO,23,78,1,0,6800.0,6800.0,false
947,FEMTO,23,78,1,0,6800.0,6800.0,false
948,FEMTO,23,78,1,0,6800.0,6800.0,false
949,FEMTO,23,78,1,0,6800.0,6800.0,false
950,FEMTO,23,78,1,1,6800.0,6800.0,true
951,FEMTO,23,78,1,0,6800.0,6800.0,true
952,FEMTO,23,78,1,0,6800.0,6800.0,false
953,FEMTO,23,78,1,0,6800.0,6800.0,true
954,FEMTO,23,78,1,1,6800.0,6800.0,true
955,FEMTO,23,78,1,0,6800.0,6800.0,true
956,FEMTO,23,78,1,1,6800.0,6800.0,true
957,FEMTO,32,91,1,2,6800.0,3400.0,true
958,FEMTO,32,91,1,3,6800.0,2266.6666666666665,true
959,FEMTO,32,91,1,1,6800.0,6800.0,true
960,FEMTO,32,91,1,0,6800.0,6800.0,false
961,FEMTO,32,91,1,2,6800.0,3400.0,true
962,FEMTO,32,91,1,0,6800.0,6800.0,false
963,FEMTO,32,91,1,0,6800.0,6800.0,false
964,FEMTO,32,91,1,0,6800.0,6800.0,true
965,FEMTO,32,91,1,0,6800.0,6800.0,true
966,FEMTO,32,91,1,0,6800.0,6800.0,false
967,FEMTO,32,91,1,0,6800.0,6800.0,false
968,FEMTO,32,91,1,1,6800.0,6800.0,true
969,FEMTO,78,13,1,0,6800.0,6800.0,true
970,FEMTO,78,13,1,0,6800.0,6800.0,false
971,FEMTO,78,13,1,1,6800.0,6800.0,true
972,FEMTO,78,13,1,0,6800.0,6800.0,true
973,FEMTO,78,13,1,0,6800.0,6800.0,true
974,FEMTO,78,13,1,0,6800.0,6800.0,false
975,FEMTO,78,13,1,0,6800.0,6800.0,false
976,FEMTO,78,13,1,0,6800.0,6800.0,false
977,FEMTO,78,13,1,0,6800.0,6800.0,true
978,FEMTO,78,13,1,0,6800.0,6800.0,false
979,FEMTO,78,13,1,0,6800.0,6800.0,true
980,FEMTO,78,13,1,0,6800.0,6800.0,false
981,FEMTO,76,52,1,1,6800.0,6800.0,true
982,FEMTO,76,52,1,0,6800.0,6800.0,false
983,FEMTO,76,52,1,0,6800.0,6800.0,false
984,FEMTO,76,52,1,0,6800.0,6800.0,false
985,FEMTO,76,52,1,0,6800.0,6800.0,true
986,FEMTO,76,52,1,0,6800.0,6800.0,true
987,FEMTO,76,52,1,0,6800.0,6800.0,false
988,FEMTO,76,52,1,0,6800.0,6800.0,true
989,FEMTO,76,52,1,1,6800.0,6800.0,true
990,FEMTO,76,52,1,0,6800.0,6800.0,false
991,FEMTO,76,52,1,0,6800.0,6800.0,false
992,FEMTO,76,52,1,0,6800.0,6800.0,false
993,FEMTO,81,13,1,0,6800.0,6800.0,true
994,FEMTO,81,13,1,0,6800.0,6800.0,true
995,FEMTO,81,13,1,0,6800.0,6800.0,false
996,FEMTO,81,13,1,0,6800.0,6800.0,true
997,FEMTO,81,13,1,0,6800.0,6800.0,true
998,FEMTO,81,13,1,0,6800.0,6800.0,false
999,FEMTO,81,13,1,0,6800.0,6800.0,false
1000,FEMTO,81,13,1,1,6800.0,6800.0,true
1001,FEMTO,81,13,1,0,6800.0,6800.0,false
1002,FEMTO,81,13,1,0,6800.0,6800.0,false
1003,FEMTO,81,13,1,0,6800.0,6800.0,false
1004,FEMTO,81,13,1,0,6800.0,6800.0,false
1005,FEMTO,6,95,1,0,6800.0,6800.0,false
1006,FEMTO,6,95,1,1,6800.0,6800.0,true
1007,FEMTO,6,95,1,0,6800.0,6800.0,true
1008,FEMTO,6,95,1,0,6800.0,6800.0,false
1009,FEMTO,6,95,1,0,6800.0,6800.0,true
1010,FEMTO,6,95,1,0,6800.0,6800.0,false
1011,FEMTO,6,95,1,1,6800.0,6800.0,true
1012,FEMTO,6,95,1,1,6800.0,6800.0,true
1013,FEMTO,6,95,1,0,6800.0,6800.0,false
1014,FEMTO,6,95,1,0,6800.0,6800.0,false
1015,FEMTO,6,95,1,0,6800.0,6800.0,false
1016,FEMTO,6,95,1,0,6800.0,6800.0,false
1017,FEMTO,71,50,1,0,6800.0,6800.0,true
1018,FEMTO,71,50,1,0,6800.0,6800.0,false
1019,FEMTO,71,50,1,0,6800.0,6800.0,true
1020,FEMTO,71,50,1,0,6800.0,6800.0,true
1021,FEMTO,71,50,1,0,6800.0,6800.0,true
1022,FEMTO,71,50,1,0,6800.0,6800.0,false
1023,FEMTO,71,50,1,0,6800.0,6800.0,false
1024,FEMTO,71,50,1,0,6800.0,6800.0,false
1025,FEMTO,71,50,1,0,6800.0,6800.0,true
1026,FEMTO,71,50,1,0,6800.0,6800.0,false
1027,FEMTO,71,50,1,0,6800.0,6800.0,false
1028,FEMTO,71,50,1,0,6800.0,6800.0,true
1029,FEMTO,86,46,1,0,6800.0,6800.0,true
1030,FEMTO,86,46,1,0,6800.0,6800.0,true
1031,FEMTO,86,46,1,0,6800.0,6800.0,true
1032,FEMTO,86,46,1,1,6800.0,6800.0,true
1033,FEMTO,86,46,1,0,6800.0,6800.0,true
1034,FEMTO,86,46,1,0,6800.0,6800.0,true
1035,FEMTO,86,46,1,1,6800.0,6800.0,true
1036,FEMTO,86,46,1,0,6800.0,6800.0,false
1037,FEMTO,86,46,1,0,6800.0,6800.0,true
1038,FEMTO,86,46,1,0,6800.0,6800.0,true
1039,FEMTO,86,46,1,0,6800.0,6800.0,false
1040,FEMTO,86,46,1,0,6800.0,6800.0,true
1041,FEMTO,85,26,1,0,6800.0,6800.0,true
1042,FEMTO,85,26,1,0,6800.0,6800.0,false
1043,FEMTO,85,26,1,0,6800.0,6800.0,false
1044,FEMTO,85,26,1,0,6800.0,6800.0,false
1045,FEMTO,85,26,1,0,6800.0,6800.0,true
1046,FEMTO,85,26,1,0,6800.0,6800.0,false
1047,FEMTO,85,26,1,0,6800.0,6800.0,false
1048,FEMTO,85,26,1,0,6800.0,6800.0,true
1049,FEMTO,85,26,1,0,6800.0,6800.0,false
1050,FEMTO,85,26,1,3,6800.0,2266.6666666666665,true
1051,FEMTO,85,26,1,0,6800.0,6800.0,false
1052,FEMTO,85,26,1,0,6800.0,6800.0,false
1053,FEMTO,90,38,1,0,6800.0,6800.0,false
1054,FEMTO,90,38,1,0,6800.0,6800.0,false
1055,FEMTO,90,38,1,0,6800.0,6800.0,true
1056,FEMTO,90,38,1,0,6800.0,6800.0,true
1057,FEMTO,90,38,1,0,6800.0,6800.0,true
1058,FEMTO,90,38,1,1,6800.0,6800.0,true
1059,FEMTO,90,38,1,0,6800.0,6800.0,false
1060,FEMTO,90,38,1,0,6800.0,6800.0,true
1061,FEMTO,90,38,1,0,6800.0,6800.0,false
1062,FEMTO,90,38,1,0,6800.0,6800.0,true
1063,FEMTO,90,38,1,2,6800.0,3400.0,true
1064,FEMTO,90,38,1,0,6800.0,6800.0,false
1065,FEMTO,12,50,1,0,6800.0,6800.0,true
1066,FEMTO,12,50,1,0,6800.0,6800.0,false
1067,FEMTO,12,50,1,0,6800.0,6800.0,true
1068,FEMTO,12,50,1,0,6800.0,6800.0,true
1069,FEMTO,12,50,1,0,6800.0,6800.0,false
1070,FEMTO,12,50,1,0,6800.0,6800.0,true
1071,FEMTO,12,50,1,0,6800.0,6800.0,false
1072,FEMTO,12,50,1,0,6800.0,6800.0,false
1073,FEMTO,12,50,1,0,6800.0,6800.0,false
1074,FEMTO,12,50,1,0,6800.0,6800.0,true
1075,FEMTO,12,50,1,0,6800.0,6800.0,false
1076,FEMTO,12,50,1,0,6800.0,6800.0,false
1077,FEMTO,34,18,1,0,6800.0,6800.0,false
1078,FEMTO,34,18,1,0,6800.0,6800.0,false
1079,FEMTO,34,18,1,0,6800.0,6800.0,false
1080,FEMTO,34,18,1,0,6800.0,6800.0,true
1081,FEMTO,34,18,1,0,6800.0,6800.0,true
1082,FEMTO,34,18,1,0,6800.0,6800.0,false
1083,FEMTO,34,18,1,0,6800.0,6800.0,false
